First Name,Last Name,Year,Rec,Yards,TD,20+,40+,Lng,Rec 1st,1st %,Rec FUM,Targets,Position,Draft Year,College,Height (inch),Weight (lbs),BMI,ArmLength (inch),Hand Size (inch),Wing Span (inch),40 Yard Dash (s),40 Yard (MPH),20 Yard Split (s),Bench Press,QB Ball Velocity,Vertical Leap (inch),Broad Jump (inch),20 Yd Shuttle (s),Three Cone
Bob,Adams,1973.0,14.0,197.0,,,,,,,,,TE,,,,,,,,,,,,,,,,,
Bob,Adams,1974.0,17.0,244.0,,,,,,,,,TE,,,,,,,,,,,,,,,,,
Bob,Adams,1976.0,1.0,,,,,15.0,,,,,TE,,,,,,,,,,,,,,,,,
Charlie,Adams,2005.0,21.0,203.0,,2.0,,21.0,9.0,0.429,1.0,,WR,,,,,,,,,,,,,,,,,
Curtis,Adams,1985.0,1.0,,,,,12.0,,,,,RB,,,,,,,,,,,,,,,,,
Curtis,Adams,1986.0,4.0,,,,,10.0,,,,,RB,,,,,,,,,,,,,,,,,
Curtis,Adams,1987.0,4.0,,,,,21.0,,,,,RB,,,,,,,,,,,,,,,,,
Davante,Adams,2014.0,38.0,446.0,3.0,5.0,1.0,45.0,23.0,0.605,,66.0,WR,2014.0,"Frenso,State,CA","72,88",212.0,28.74,32.63,9.0,77.75,4.56,18.14,2.68,14 reps (225 lb),(N/A) (MPH),39.5,123.0,4.3,6.82
Davante,Adams,2015.0,50.0,483.0,1.0,6.0,1.0,40.0,20.0,0.4,,93.0,WR,2014.0,"Frenso,State,CA","72,88",212.0,28.74,32.63,9.0,77.75,4.56,18.14,2.68,14 reps (225 lb),(N/A) (MPH),39.5,123.0,4.3,6.82
Davante,Adams,2016.0,75.0,997.0,12.0,17.0,4.0,66.0,45.0,0.6,2.0,121.0,WR,2014.0,"Frenso,State,CA","72,88",212.0,28.74,32.63,9.0,77.75,4.56,18.14,2.68,14 reps (225 lb),(N/A) (MPH),39.5,123.0,4.3,6.82
Davante,Adams,2017.0,74.0,885.0,10.0,8.0,3.0,55.0,45.0,0.608,,117.0,WR,2014.0,"Frenso,State,CA","72,88",212.0,28.74,32.63,9.0,77.75,4.56,18.14,2.68,14 reps (225 lb),(N/A) (MPH),39.5,123.0,4.3,6.82
Davante,Adams,2018.0,111.0,1386.0,13.0,18.0,5.0,57.0,64.0,0.5770000000000001,,169.0,WR,2014.0,"Frenso,State,CA","72,88",212.0,28.74,32.63,9.0,77.75,4.56,18.14,2.68,14 reps (225 lb),(N/A) (MPH),39.5,123.0,4.3,6.82
Davante,Adams,2019.0,83.0,997.0,5.0,12.0,2.0,58.0,54.0,0.6509999999999999,2.0,127.0,WR,2014.0,"Frenso,State,CA","72,88",212.0,28.74,32.63,9.0,77.75,4.56,18.14,2.68,14 reps (225 lb),(N/A) (MPH),39.5,123.0,4.3,6.82
