First Name,Last Name,Year,Rec,Yards,TD,20+,40+,Lng,Rec 1st,1st %,Rec FUM,Targets,Position,Draft Year,College,Height (inch),Weight (lbs),BMI,ArmLength (inch),Hand Size (inch),Wing Span (inch),40 Yard Dash (s),40 Yard (MPH),20 Yard Split (s),Bench Press,QB Ball Velocity,Vertical Leap (inch),Broad Jump (inch),20 Yd Shuttle (s),Three Cone
Johnny,Bailey,1994.0,58.0,516.0,,2.0,,28.0,18.0,0.31,1.0,,RB,1990.0,"Texas,A,M,Kingsville","67,6",176.0,27.73,27.13,9.0,,4.6,,2.66,(N/A) reps (225 lb),(N/A) (MPH),,,,
Johnny,Bailey,1995.0,38.0,265.0,,2.0,,25.0,13.0,0.342,1.0,,RB,1990.0,"Texas,A,M,Kingsville","67,6",176.0,27.73,27.13,9.0,,4.6,,2.66,(N/A) reps (225 lb),(N/A) (MPH),,,,
Karsten,Bailey,2000.0,6.0,,1.0,1.0,,22.0,5.0,0.833,,,WR,1999.0,Auburn,"71,8",205.0,28.63,31.0,8.38,,4.33,,2.53,(N/A) reps (225 lb),(N/A) (MPH),40.0,,3.99,6.99
Karsten,Bailey,2002.0,3.0,,,,,10.0,2.0,0.667,,,WR,1999.0,Auburn,"71,8",205.0,28.63,31.0,8.38,,4.33,,2.53,(N/A) reps (225 lb),(N/A) (MPH),40.0,,3.99,6.99
Mark,Bailey,1977.0,17.0,206.0,1.0,,,47.0,,,,,RB,,,,,,,,,,,,,,,,,
Mark,Bailey,1978.0,5.0,,,,,15.0,,,,,RB,,,,,,,,,,,,,,,,,
Stacey,Bailey,1982.0,2.0,,1.0,,,15.0,,,,,WR,,,,,,,,,,,,,,,,,
Stacey,Bailey,1983.0,55.0,881.0,6.0,,,53.0,,,,,WR,,,,,,,,,,,,,,,,,
Stacey,Bailey,1984.0,67.0,1138.0,6.0,,,61.0,,,,,WR,,,,,,,,,,,,,,,,,
Stacey,Bailey,1985.0,30.0,364.0,,,,31.0,,,,,WR,,,,,,,,,,,,,,,,,
Stacey,Bailey,1986.0,3.0,,,,,21.0,,,,,WR,,,,,,,,,,,,,,,,,
Stacey,Bailey,1987.0,20.0,325.0,3.0,,,35.0,,,,,WR,,,,,,,,,,,,,,,,,
Stacey,Bailey,1988.0,17.0,437.0,2.0,,,68.0,,,,,WR,,,,,,,,,,,,,,,,,
Stacey,Bailey,1989.0,8.0,170.0,,,,41.0,,,,,WR,,,,,,,,,,,,,,,,,
Stacey,Bailey,1990.0,4.0,,,,,13.0,,,,,WR,,,,,,,,,,,,,,,,,
Stedman,Bailey,2013.0,17.0,226.0,,2.0,,28.0,10.0,0.588,,25.0,WR,2013.0,"West,Virginia","70,25",193.0,28.16,32.68,9.78,77.125,4.52,18.06,2.64,11 reps (225 lb),(N/A) (MPH),34.5,117.0,4.09,6.81
Stedman,Bailey,2014.0,30.0,435.0,1.0,6.0,,38.0,19.0,0.633,,47.0,WR,2013.0,"West,Virginia","70,25",193.0,28.16,32.68,9.78,77.125,4.52,18.06,2.64,11 reps (225 lb),(N/A) (MPH),34.5,117.0,4.09,6.81
Stedman,Bailey,2015.0,12.0,182.0,1.0,3.0,1.0,68.0,6.0,0.5,,23.0,WR,2013.0,"West,Virginia","70,25",193.0,28.16,32.68,9.78,77.125,4.52,18.06,2.64,11 reps (225 lb),(N/A) (MPH),34.5,117.0,4.09,6.81
Tom,Bailey,1971.0,7.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Tom,Bailey,1972.0,5.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Tom,Bailey,1973.0,10.0,,1.0,,,,,,,,RB,,,,,,,,,,,,,,,,,
Tom,Bailey,1974.0,6.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Victor,Bailey,1993.0,41.0,545.0,1.0,7.0,3.0,58.0,24.0,0.585,,,WR,1993.0,Missouri,"74,3",196.0,25.56,32.0,10.5,,4.57,,2.64,(N/A) reps (225 lb),(N/A) (MPH),35.0,,4.16,
Victor,Bailey,1994.0,20.0,311.0,1.0,4.0,1.0,61.0,15.0,0.75,,,WR,1993.0,Missouri,"74,3",196.0,25.56,32.0,10.5,,4.57,,2.64,(N/A) reps (225 lb),(N/A) (MPH),35.0,,4.16,
Victor,Bailey,1996.0,1.0,,,,,12.0,1.0,,,,WR,1993.0,Missouri,"74,3",196.0,25.56,32.0,10.5,,4.57,,2.64,(N/A) reps (225 lb),(N/A) (MPH),35.0,,4.16,
Billy,Bajema,2005.0,5.0,,,2.0,,24.0,2.0,0.4,,,TE,2005.0,"Oklahoma,State","76,88",261.0,31.79,33.25,9.88,,4.78,,2.8,16 reps (225 lb),(N/A) (MPH),31.5,111.0,4.25,7.05
Billy,Bajema,2008.0,2.0,,,1.0,,29.0,1.0,0.5,,4.0,TE,2005.0,"Oklahoma,State","76,88",261.0,31.79,33.25,9.88,,4.78,,2.8,16 reps (225 lb),(N/A) (MPH),31.5,111.0,4.25,7.05
Billy,Bajema,2009.0,8.0,,,1.0,,27.0,4.0,0.5,,11.0,TE,2005.0,"Oklahoma,State","76,88",261.0,31.79,33.25,9.88,,4.78,,2.8,16 reps (225 lb),(N/A) (MPH),31.5,111.0,4.25,7.05
Billy,Bajema,2010.0,14.0,145.0,2.0,2.0,,26.0,8.0,0.5710000000000001,1.0,24.0,TE,2005.0,"Oklahoma,State","76,88",261.0,31.79,33.25,9.88,,4.78,,2.8,16 reps (225 lb),(N/A) (MPH),31.5,111.0,4.25,7.05
Billy,Bajema,2011.0,9.0,,,,,19.0,2.0,0.222,,14.0,TE,2005.0,"Oklahoma,State","76,88",261.0,31.79,33.25,9.88,,4.78,,2.8,16 reps (225 lb),(N/A) (MPH),31.5,111.0,4.25,7.05
Billy,Bajema,2013.0,2.0,,,,,18.0,1.0,0.5,,2.0,TE,2005.0,"Oklahoma,State","76,88",261.0,31.79,33.25,9.88,,4.78,,2.8,16 reps (225 lb),(N/A) (MPH),31.5,111.0,4.25,7.05
Chris,Baker,2002.0,2.0,,,,,10.0,1.0,0.5,,,TE,2002.0,"Michigan,State","75,1",258.0,32.94,31.5,9.25,,4.85,,2.81,18 reps (225 lb),(N/A) (MPH),35.0,111.0,,
Chris,Baker,2003.0,14.0,137.0,,1.0,,24.0,8.0,0.5710000000000001,,,TE,2002.0,"Michigan,State","75,1",258.0,32.94,31.5,9.25,,4.85,,2.81,18 reps (225 lb),(N/A) (MPH),35.0,111.0,,
Chris,Baker,2004.0,18.0,182.0,4.0,1.0,,23.0,12.0,0.667,1.0,,TE,2002.0,"Michigan,State","75,1",258.0,32.94,31.5,9.25,,4.85,,2.81,18 reps (225 lb),(N/A) (MPH),35.0,111.0,,
Chris,Baker,2005.0,18.0,269.0,1.0,6.0,1.0,47.0,11.0,0.611,,,TE,2002.0,"Michigan,State","75,1",258.0,32.94,31.5,9.25,,4.85,,2.81,18 reps (225 lb),(N/A) (MPH),35.0,111.0,,
Chris,Baker,2006.0,31.0,300.0,4.0,2.0,,28.0,18.0,0.581,,45.0,TE,2002.0,"Michigan,State","75,1",258.0,32.94,31.5,9.25,,4.85,,2.81,18 reps (225 lb),(N/A) (MPH),35.0,111.0,,
Chris,Baker,2007.0,41.0,409.0,3.0,1.0,,22.0,29.0,0.7070000000000001,1.0,61.0,TE,2002.0,"Michigan,State","75,1",258.0,32.94,31.5,9.25,,4.85,,2.81,18 reps (225 lb),(N/A) (MPH),35.0,111.0,,
Chris,Baker,2008.0,21.0,194.0,,1.0,,29.0,11.0,0.524,,30.0,TE,2002.0,"Michigan,State","75,1",258.0,32.94,31.5,9.25,,4.85,,2.81,18 reps (225 lb),(N/A) (MPH),35.0,111.0,,
Chris,Baker,2009.0,14.0,142.0,2.0,2.0,,36.0,6.0,0.429,,19.0,TE,2002.0,"Michigan,State","75,1",258.0,32.94,31.5,9.25,,4.85,,2.81,18 reps (225 lb),(N/A) (MPH),35.0,111.0,,
Chris,Baker,2010.0,9.0,116.0,1.0,1.0,1.0,44.0,4.0,0.444,,19.0,TE,2002.0,"Michigan,State","75,1",258.0,32.94,31.5,9.25,,4.85,,2.81,18 reps (225 lb),(N/A) (MPH),35.0,111.0,,
Dallas,Baker,2008.0,1.0,,,,,6.0,,,,2.0,WR,2007.0,Florida,"75,13",208.0,26.53,36.5,10.13,,4.59,,2.65,(N/A) reps (225 lb),(N/A) (MPH),36.0,,4.19,6.69
Edwin,Baker,2013.0,8.0,,,,,16.0,3.0,0.375,,9.0,RB,2012.0,"Michigan,State",68,204.0,31.76,29.63,8.13,,4.44,18.47,2.6,20 reps (225 lb),(N/A) (MPH),35.0,111.0,4.31,7.27
Eugene,Baker,1999.0,7.0,118.0,,2.0,,36.0,5.0,0.7140000000000001,,,WR,1999.0,"Kent,State,OH","72,5",167.0,22.88,31.5,9.5,,4.46,,2.57,(N/A) reps (225 lb),(N/A) (MPH),36.5,,4.03,6.9
Josh,Baker,2011.0,3.0,,1.0,,,17.0,2.0,0.667,,4.0,TE,,,,,,,,,,,,,,,,,
Keith,Baker,1985.0,2.0,,,,,20.0,,,,,WR,,,,,,,,,,,,,,,,,
Melvin,Baker,1974.0,4.0,121.0,2.0,,,,,,,,WR,,,,,,,,,,,,,,,,,
Melvin,Baker,1975.0,2.0,,,,,17.0,,,,,WR,,,,,,,,,,,,,,,,,
Melvin,Baker,1976.0,3.0,,,,,14.0,,,,,WR,,,,,,,,,,,,,,,,,
Robert,Baker,2002.0,1.0,,,,,17.0,1.0,,,,WR,,,,,,,,,,,,,,,,,
Shannon,Baker,1994.0,2.0,,,,,10.0,2.0,,,,WR,1993.0,"Florida,State","69,5",185.0,27.58,32.88,9.25,,4.49,,2.62,(N/A) reps (225 lb),(N/A) (MPH),35.0,,4.4,
Stephen,Baker,1987.0,15.0,277.0,2.0,,,50.0,,,,,WR,1987.0,"Frenso,State,CA",68,157.0,24.45,30.25,8.25,,4.6,,2.61,(N/A) reps (225 lb),(N/A) (MPH),31.0,,4.41,
Stephen,Baker,1988.0,40.0,656.0,7.0,,,85.0,,,,,WR,1987.0,"Frenso,State,CA",68,157.0,24.45,30.25,8.25,,4.6,,2.61,(N/A) reps (225 lb),(N/A) (MPH),31.0,,4.41,
Stephen,Baker,1989.0,13.0,255.0,2.0,,,39.0,,,,,WR,1987.0,"Frenso,State,CA",68,157.0,24.45,30.25,8.25,,4.6,,2.61,(N/A) reps (225 lb),(N/A) (MPH),31.0,,4.41,
Stephen,Baker,1990.0,26.0,541.0,4.0,,,80.0,,,,,WR,1987.0,"Frenso,State,CA",68,157.0,24.45,30.25,8.25,,4.6,,2.61,(N/A) reps (225 lb),(N/A) (MPH),31.0,,4.41,
Stephen,Baker,1991.0,30.0,525.0,4.0,7.0,2.0,52.0,23.0,0.767,,,WR,1987.0,"Frenso,State,CA",68,157.0,24.45,30.25,8.25,,4.6,,2.61,(N/A) reps (225 lb),(N/A) (MPH),31.0,,4.41,
Stephen,Baker,1992.0,17.0,333.0,2.0,6.0,2.0,46.0,14.0,0.8240000000000001,,,WR,1987.0,"Frenso,State,CA",68,157.0,24.45,30.25,8.25,,4.6,,2.61,(N/A) reps (225 lb),(N/A) (MPH),31.0,,4.41,
Tony,Baker,1970.0,12.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Tony,Baker,1970.0,12.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Tony,Baker,1971.0,10.0,,1.0,,,,,,,,RB,,,,,,,,,,,,,,,,,
Tony,Baker,1971.0,10.0,,1.0,,,,,,,,RB,,,,,,,,,,,,,,,,,
Tony,Baker,1972.0,16.0,114.0,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Tony,Baker,1972.0,16.0,114.0,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Tony,Baker,1974.0,4.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Tony,Baker,1974.0,4.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Tony,Baker,1975.0,6.0,,,,,7.0,,,,,RB,,,,,,,,,,,,,,,,,
Tony,Baker,1975.0,6.0,,,,,7.0,,,,,RB,,,,,,,,,,,,,,,,,
Tony,Baker,1989.0,2.0,,,,,9.0,,,,,RB,,,,,,,,,,,,,,,,,
Tony,Baker,1989.0,2.0,,,,,9.0,,,,,RB,,,,,,,,,,,,,,,,,
Brian,Baldinger,1988.0,1.0,,,,,37.0,,,,,G,,,,,,,,,,,,,,,,,
Doug,Baldwin,2011.0,51.0,788.0,4.0,19.0,2.0,55.0,40.0,0.784,,86.0,WR,,,,,,,,,,,,,,,,,
Doug,Baldwin,2012.0,29.0,366.0,3.0,5.0,2.0,50.0,18.0,0.621,,49.0,WR,,,,,,,,,,,,,,,,,
Doug,Baldwin,2013.0,50.0,778.0,5.0,14.0,3.0,52.0,36.0,0.72,,73.0,WR,,,,,,,,,,,,,,,,,
Doug,Baldwin,2014.0,66.0,825.0,3.0,15.0,2.0,49.0,42.0,0.636,,98.0,WR,,,,,,,,,,,,,,,,,
Doug,Baldwin,2015.0,78.0,1069.0,14.0,16.0,3.0,80.0,47.0,0.603,1.0,104.0,WR,,,,,,,,,,,,,,,,,
Doug,Baldwin,2016.0,94.0,1128.0,7.0,16.0,5.0,59.0,52.0,0.5529999999999999,1.0,126.0,WR,,,,,,,,,,,,,,,,,
Doug,Baldwin,2017.0,75.0,991.0,8.0,18.0,3.0,54.0,44.0,0.5870000000000001,,117.0,WR,,,,,,,,,,,,,,,,,
Doug,Baldwin,2018.0,50.0,618.0,5.0,9.0,2.0,42.0,32.0,0.64,,73.0,WR,,,,,,,,,,,,,,,,,
Jon,Baldwin,2011.0,21.0,254.0,1.0,2.0,,39.0,13.0,0.619,,52.0,WR,2011.0,Pittsburgh,"76,38",228.0,28.14,33.63,10.13,,4.49,,2.57,20 reps (225 lb),(N/A) (MPH),42.0,129.0,4.34,7.07
Jon,Baldwin,2012.0,20.0,325.0,1.0,6.0,1.0,57.0,14.0,0.7,,47.0,WR,2011.0,Pittsburgh,"76,38",228.0,28.14,33.63,10.13,,4.49,,2.57,20 reps (225 lb),(N/A) (MPH),42.0,129.0,4.34,7.07
Jon,Baldwin,2013.0,3.0,,,,,15.0,1.0,0.33299999999999996,,9.0,WR,2011.0,Pittsburgh,"76,38",228.0,28.14,33.63,10.13,,4.49,,2.57,20 reps (225 lb),(N/A) (MPH),42.0,129.0,4.34,7.07
Randy,Baldwin,1992.0,2.0,,,1.0,,20.0,1.0,0.5,,,RB,1991.0,Mississippi,"70,6",216.0,31.2,29.5,9.5,,4.57,,2.69,20 reps (225 lb),(N/A) (MPH),32.0,117.0,4.09,
Randy,Baldwin,1993.0,1.0,,1.0,,,5.0,1.0,,,,RB,1991.0,Mississippi,"70,6",216.0,31.2,29.5,9.5,,4.57,,2.69,20 reps (225 lb),(N/A) (MPH),32.0,117.0,4.09,
Randy,Baldwin,1994.0,3.0,,,,,15.0,1.0,0.33299999999999996,,,RB,1991.0,Mississippi,"70,6",216.0,31.2,29.5,9.5,,4.57,,2.69,20 reps (225 lb),(N/A) (MPH),32.0,117.0,4.09,
Eric,Ball,1989.0,6.0,,,,,15.0,,,,,RB,1989.0,UCLA,"73,3",215.0,28.81,,,,4.58,,2.67,18 reps (225 lb),(N/A) (MPH),33.5,118.0,4.45,
Eric,Ball,1990.0,2.0,,1.0,,,48.0,,,,,RB,1989.0,UCLA,"73,3",215.0,28.81,,,,4.58,,2.67,18 reps (225 lb),(N/A) (MPH),33.5,118.0,4.45,
Eric,Ball,1991.0,3.0,,,,,9.0,,,,,RB,1989.0,UCLA,"73,3",215.0,28.81,,,,4.58,,2.67,18 reps (225 lb),(N/A) (MPH),33.5,118.0,4.45,
Eric,Ball,1992.0,6.0,,2.0,1.0,,35.0,2.0,0.33299999999999996,,,RB,1989.0,UCLA,"73,3",215.0,28.81,,,,4.58,,2.67,18 reps (225 lb),(N/A) (MPH),33.5,118.0,4.45,
Eric,Ball,1993.0,4.0,,,1.0,,24.0,,,,,RB,1989.0,UCLA,"73,3",215.0,28.81,,,,4.58,,2.67,18 reps (225 lb),(N/A) (MPH),33.5,118.0,4.45,
Eric,Ball,1994.0,1.0,,,,,4.0,,,,,RB,1989.0,UCLA,"73,3",215.0,28.81,,,,4.58,,2.67,18 reps (225 lb),(N/A) (MPH),33.5,118.0,4.45,
Lance,Ball,2008.0,1.0,,,,,5.0,,,,1.0,RB,,,,,,,,,,,,,,,,,
Lance,Ball,2010.0,3.0,,,,,13.0,1.0,0.33299999999999996,,6.0,RB,,,,,,,,,,,,,,,,,
Lance,Ball,2011.0,16.0,148.0,1.0,1.0,,34.0,8.0,0.5,1.0,32.0,RB,,,,,,,,,,,,,,,,,
Lance,Ball,2012.0,7.0,,1.0,,,17.0,4.0,0.5710000000000001,1.0,11.0,RB,,,,,,,,,,,,,,,,,
Montee,Ball,2013.0,20.0,145.0,,1.0,,31.0,10.0,0.5,1.0,27.0,RB,2013.0,Wisconsin,"70,5",214.0,,32.63,9.08,75.375,4.66,18.14,2.72,15 reps (225 lb),(N/A) (MPH),32.0,118.0,4.4,6.88
Montee,Ball,2014.0,9.0,,,,,16.0,2.0,0.222,,13.0,RB,2013.0,Wisconsin,"70,5",214.0,,32.63,9.08,75.375,4.66,18.14,2.72,15 reps (225 lb),(N/A) (MPH),32.0,118.0,4.4,6.88
Kalen,Ballage,2018.0,9.0,,,1.0,,31.0,2.0,0.222,,11.0,RB,2018.0,"Arizona,State","73,5",228.0,30.39,32.75,9.5,77.125,4.46,18.43,2.61,15 reps (225 lb),(N/A) (MPH),33.5,122.0,4.35,6.91
Kalen,Ballage,2019.0,14.0,,,,,13.0,4.0,0.28600000000000003,,23.0,RB,2018.0,"Arizona,State","73,5",228.0,30.39,32.75,9.5,77.125,4.46,18.43,2.61,15 reps (225 lb),(N/A) (MPH),33.5,122.0,4.35,6.91
Kalen,Ballage,2020.0,38.0,233.0,,2.0,,58.0,6.0,0.158,,47.0,RB,2018.0,"Arizona,State","73,5",228.0,30.39,32.75,9.5,77.125,4.46,18.43,2.61,15 reps (225 lb),(N/A) (MPH),33.5,122.0,4.35,6.91
Jake,Ballard,2011.0,38.0,604.0,4.0,13.0,1.0,41.0,31.0,0.816,,60.0,TE,,,,,,,,,,,,,,,,,
Jake,Ballard,2013.0,7.0,,2.0,1.0,,29.0,5.0,0.7140000000000001,,9.0,TE,,,,,,,,,,,,,,,,,
Vick,Ballard,2012.0,17.0,152.0,1.0,,,19.0,7.0,0.41200000000000003,,27.0,RB,2012.0,"Mississippi,State","70,25",219.0,31.95,31.75,9.5,,4.59,17.94,2.59,23 reps (225 lb),(N/A) (MPH),33.0,115.0,4.19,7.03
Vick,Ballard,2013.0,1.0,,,,,,,,,2.0,RB,2012.0,"Mississippi,State","70,25",219.0,31.95,31.75,9.5,,4.59,17.94,2.59,23 reps (225 lb),(N/A) (MPH),33.0,115.0,4.19,7.03
Gary,Ballman,1970.0,47.0,601.0,3.0,,,,,,,,WR,,,,,,,,,,,,,,,,,
Gary,Ballman,1971.0,13.0,238.0,,,,,,,,,WR,,,,,,,,,,,,,,,,,
Gary,Ballman,1972.0,9.0,183.0,,,,,,,,,WR,,,,,,,,,,,,,,,,,
Gary,Ballman,1973.0,3.0,,,,,,,,,,WR,,,,,,,,,,,,,,,,,
Pete,Banaszak,1970.0,1.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Pete,Banaszak,1971.0,13.0,128.0,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Pete,Banaszak,1972.0,9.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Pete,Banaszak,1973.0,6.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Pete,Banaszak,1974.0,9.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Pete,Banaszak,1975.0,10.0,,,,,11.0,,,,,RB,,,,,,,,,,,,,,,,,
Pete,Banaszak,1976.0,15.0,,,,,20.0,,,,,RB,,,,,,,,,,,,,,,,,
Pete,Banaszak,1977.0,2.0,,,,,8.0,,,,,RB,,,,,,,,,,,,,,,,,
Pete,Banaszak,1978.0,7.0,,,,,20.0,,,,,RB,,,,,,,,,,,,,,,,,
Brandon,Banks,2010.0,2.0,,,,,15.0,1.0,0.5,,5.0,WR,2010.0,"Kansas,State","66,75",149.0,24.08,,8.25,,4.43,18.26,2.58,(N/A) reps (225 lb),(N/A) (MPH),31.0,,4.29,6.88
Brandon,Banks,2011.0,1.0,,,,,10.0,1.0,,,1.0,WR,2010.0,"Kansas,State","66,75",149.0,24.08,,8.25,,4.43,18.26,2.58,(N/A) reps (225 lb),(N/A) (MPH),31.0,,4.29,6.88
Brandon,Banks,2012.0,8.0,,,,,8.0,2.0,0.25,1.0,8.0,WR,2010.0,"Kansas,State","66,75",149.0,24.08,,8.25,,4.43,18.26,2.58,(N/A) reps (225 lb),(N/A) (MPH),31.0,,4.29,6.88
Carl,Banks,1989.0,1.0,,1.0,,,22.0,,,,,OLB,,,,,,,,,,,,,,,,,
Chuck,Banks,1986.0,7.0,,,,,17.0,,,,,RB,,,,,,,,,,,,,,,,,
Chuck,Banks,1987.0,9.0,,,,,18.0,,,,,RB,,,,,,,,,,,,,,,,,
Fred,Banks,1985.0,5.0,,2.0,,,17.0,,,,,WR,,,,,,,,,,,,,,,,,
Fred,Banks,1987.0,1.0,,1.0,,,10.0,,,,,WR,,,,,,,,,,,,,,,,,
Fred,Banks,1988.0,23.0,430.0,2.0,,,55.0,,,,,WR,,,,,,,,,,,,,,,,,
Fred,Banks,1989.0,30.0,520.0,1.0,,,61.0,,,,,WR,,,,,,,,,,,,,,,,,
Fred,Banks,1990.0,13.0,131.0,,,,23.0,,,,,WR,,,,,,,,,,,,,,,,,
Fred,Banks,1991.0,9.0,119.0,1.0,2.0,,25.0,9.0,,,,WR,,,,,,,,,,,,,,,,,
Fred,Banks,1992.0,22.0,319.0,3.0,5.0,,39.0,17.0,0.773,,,WR,,,,,,,,,,,,,,,,,
Fred,Banks,1993.0,2.0,,,1.0,,45.0,2.0,,,,WR,,,,,,,,,,,,,,,,,
Gary,Banks,2010.0,1.0,,,,,2.0,,,,3.0,WR,,,,,,,,,,,,,,,,,
Gordon,Banks,1980.0,1.0,,,,,7.0,,,,,WR,,,,,,,,,,,,,,,,,
Gordon,Banks,1981.0,2.0,,,,,12.0,,,,,WR,,,,,,,,,,,,,,,,,
Gordon,Banks,1986.0,17.0,202.0,,,,23.0,,,,,WR,,,,,,,,,,,,,,,,,
Gordon,Banks,1987.0,15.0,231.0,1.0,,,34.0,,,,,WR,,,,,,,,,,,,,,,,,
Tavian,Banks,1998.0,4.0,,,,,10.0,,,1.0,,RB,1998.0,Iowa,"69,6",198.0,29.43,31.88,9.63,,4.48,,2.59,15 reps (225 lb),(N/A) (MPH),39.0,125.0,3.95,7.34
Tavian,Banks,1999.0,14.0,137.0,,1.0,,38.0,6.0,0.429,,,RB,1998.0,Iowa,"69,6",198.0,29.43,31.88,9.63,,4.48,,2.59,15 reps (225 lb),(N/A) (MPH),39.0,125.0,3.95,7.34
Warren,Bankston,1970.0,7.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Warren,Bankston,1971.0,17.0,148.0,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Warren,Bankston,1972.0,1.0,,,,,,,,,,RB,,,,,,,,,,,,,,,,,
Warren,Bankston,1975.0,2.0,,1.0,,,13.0,,,,,RB,,,,,,,,,,,,,,,,,
Warren,Bankston,1976.0,5.0,,1.0,,,29.0,,,,,RB,,,,,,,,,,,,,,,,,
Alex,Bannister,2001.0,4.0,,,,,17.0,3.0,0.75,,,WR,2001.0,"Eastern,Kentucky","76,6",201.0,24.66,32.0,8.5,,4.5,,2.66,(N/A) reps (225 lb),(N/A) (MPH),30.5,,,
Alex,Bannister,2003.0,3.0,,1.0,2.0,,31.0,3.0,,,,WR,2001.0,"Eastern,Kentucky","76,6",201.0,24.66,32.0,8.5,,4.5,,2.66,(N/A) reps (225 lb),(N/A) (MPH),30.5,,,
Alex,Bannister,2004.0,2.0,,,,,8.0,,,,,WR,2001.0,"Eastern,Kentucky","76,6",201.0,24.66,32.0,8.5,,4.5,,2.66,(N/A) reps (225 lb),(N/A) (MPH),30.5,,,
Brad,Banta,1995.0,1.0,,,,,6.0,,,,,TE,,,,,,,,,,,,,,,,,
Brad,Banta,1998.0,1.0,,,,,7.0,1.0,,,,TE,,,,,,,,,,,,,,,,,
Joe,Banyard,2013.0,1.0,,,,,11.0,1.0,,,1.0,RB,,,,,,,,,,,,,,,,,
Joe,Banyard,2014.0,9.0,,,,,12.0,4.0,0.444,,11.0,RB,,,,,,,,,,,,,,,,,
Marion,Barber,1983.0,7.0,,1.0,,,12.0,,,,,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
Marion,Barber,1983.0,7.0,,1.0,,,12.0,,,,,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
Marion,Barber,1984.0,10.0,,,,,17.0,,,,,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
Marion,Barber,1984.0,10.0,,,,,17.0,,,,,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
Marion,Barber,1985.0,3.0,,,,,22.0,,,,,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
Marion,Barber,1985.0,3.0,,,,,22.0,,,,,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
Marion,Barber,1986.0,5.0,,,,,16.0,,,,,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
Marion,Barber,1986.0,5.0,,,,,16.0,,,,,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
Marion,Barber,2005.0,18.0,115.0,,1.0,,21.0,6.0,0.33299999999999996,,,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
Marion,Barber,2005.0,18.0,115.0,,1.0,,21.0,6.0,0.33299999999999996,,,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
Marion,Barber,2006.0,23.0,196.0,2.0,2.0,,26.0,8.0,0.348,,32.0,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
Marion,Barber,2006.0,23.0,196.0,2.0,2.0,,26.0,8.0,0.348,,32.0,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
Marion,Barber,2007.0,44.0,282.0,2.0,2.0,,29.0,16.0,0.364,2.0,54.0,RB,2005.0,Minnesota,"71,38",221.0,31.23,31.5,8.88,,4.53,18.22,,20 reps (225 lb),(N/A) (MPH),40.0,122.0,,
